n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.8,1,8,-1,1,GA,33539.993265744,3219862.008828286,2.9270435222214375e-06,0.9999994731323048,0.04327320669050861
10,0.8,2,8,-1,0,HEFT,33540.215090575,3219897.313775584,4.737090488924878e-06,0.9999991473240756,0.06461095275959317
10,0.8,2,8,-1,0,GA,33541.000725949,3219970.1245454983,4.399851988920192e-06,0.9999992080269555,0.056476707445094816
10,0.8,2,8,-1,1,HEFT,33541.269388239,3220005.3442404945,5.617954722280653e-06,0.9999989887686612,0.07216684697894972
10,0.8,2,8,-1,1,GA,33542.094083049,3220075.8549784096,4.499096344443387e-06,0.9999991901629858,0.1384559752061905
10,0.8,2,8,-1,2,HEFT,33542.342030145,3220099.2794908118,4.4502063166874e-06,0.9999991989631838,0.06631199832774448
10,0.8,2,8,-1,2,GA,33543.227438209,3220185.7294983715,4.637652494420763e-06,0.9999991652228993,0.08327652381119355
10,0.8,4,8,-1,0,HEFT,33543.473634091,3220210.4361464563,4.776133555545433e-06,0.9999991402963295,0.05637203437728237
10,0.8,4,8,-1,0,GA,33544.320147099,3220293.446200849,5.001560638872131e-06,0.9999990997194903,0.08594233196100874
10,0.8,4,8,-1,1,HEFT,33544.526145289,3220306.1809796616,4.091864588877393e-06,0.9999992634646451,0.03246024455539083
10,0.8,4,8,-1,1,GA,33545.337475292,3220385.48820089,4.275267811115353e-06,0.9999992304520902,0.06646457233827556
10,0.8,4,8,-1,2,HEFT,33545.571455185,3220408.471548653,4.342616394488788e-06,0.9999992183293543,0.0778633222693592
10,0.8,4,8,-1,2,GA,33546.42676802,3220489.46547148,4.198416222182762e-06,0.9999992442853655,0.048640572481717916
10,1,0.8,8,-1,0,HEFT,33546.744166851,3220510.308103933,2.9545331056093953e-06,0.9999994681841823,0.08420380605149895
10,1,0.8,8,-1,0,GA,33547.634379682,3220596.6108036274,3.063353250036016e-06,0.9999994485965669,0.05153962539080545
10,1,0.8,8,-1,1,HEFT,33547.971333724,3220634.747112849,3.8112500445196122e-06,0.9999993139752273,0.08923758361887751
