n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.1,2,8,-1,0,GA,11.086352376695608,2554.46462275889,0.00019252904322947177,0.999965345372704,2.8400027577365305
10,0.1,2,8,-1,1,HEFT,12.427893966146065,2877.953377445254,0.00021768418045158033,0.9999608176151683,3.4905362646101117
10,0.1,2,8,-1,1,GA,12.544782744215013,2759.3833042637048,0.000200915266255693,0.9999638359060106,3.727970318292391
10,0.1,2,8,-1,2,HEFT,11.64734584722424,2903.697771595902,0.00023069154654552644,0.9999584763837511,3.191115960374253
10,0.1,2,8,-1,2,GA,11.478887280538984,2834.4535123014366,0.00022383466839401734,0.9999597105713298,3.6528784636315996
10,0.1,2,16,-1,0,HEFT,13.324805567212113,4357.728820678074,0.00023247624699914072,0.9999581551510603,3.5194809912411857
10,0.1,2,16,-1,0,GA,13.324805567212113,4551.501028091136,0.0002575114159155569,0.999953649019375,3.4661300566805835
10,0.1,2,16,-1,1,HEFT,12.228066259108417,4010.7776021377467,0.00021485644449469388,0.9999613265878267,3.364246420071102
10,0.1,2,16,-1,1,GA,12.228066259108417,4045.2519158806526,0.00021931049019791176,0.999960524890927,2.6531935640938387
10,0.1,2,16,-1,2,HEFT,10.627945926974384,3851.0762713826934,0.00023391610509090592,0.9999578959874825,3.402683464873979
10,0.1,2,16,-1,2,GA,11.497945539959431,4058.4397059355774,0.00023912586075754084,0.9999569582713854,2.9244753557235987
10,0.1,2,32,-1,0,HEFT,10.329605166305896,5477.310859254882,0.000195186366329899,0.9999648670712362,2.325187833674821
10,0.1,2,32,-1,0,GA,10.948622996526424,5844.2738744389735,0.00021188664648227732,0.9999618611309384,2.116048153793525
10,0.1,2,32,-1,1,HEFT,9.231985418560647,4844.275939609142,0.00016785446238783635,0.9999697866532024,1.8763837856754764
10,0.1,2,32,-1,1,GA,11.158658355168905,5844.265498125552,0.00020146520539285435,0.9999637369205506,1.9052581435431433
10,0.1,2,32,-1,2,HEFT,10.129030373839388,5287.303709384196,0.00018058863641212807,0.9999674945737586,2.023603861750269
10,0.1,2,32,-1,2,GA,10.904322435314857,5856.074311490453,0.00021560910805291312,0.9999611911136348,1.9989571071197416
10,0.1,4,4,-1,0,HEFT,16.57834773244463,3329.873260625447,0.00032740472473748123,0.9999410688860535,1.5729516508932753
10,0.1,4,4,-1,0,GA,20.481815009596595,3355.222954738213,0.0003064723300100228,0.9999448365021598,3.5172951135295327
10,0.1,4,4,-1,1,HEFT,13.01053512950017,2395.3188693850125,0.0002287872329675716,0.9999588191460206,1.3369169761306345
10,0.1,4,4,-1,1,GA,13.610232218613099,2316.9816894957967,0.00021494709857911725,0.9999613102707225,1.6136044660873883
10,0.1,4,4,-1,2,HEFT,15.136456619272508,2824.780972160881,0.00027108928351883733,0.9999512051194756,1.8831585760942673
10,0.1,4,4,-1,2,GA,15.136456619272508,2818.8433099299286,0.00027032214369571687,0.9999513431979155,2.1455094750953623
10,0.1,4,8,-1,0,HEFT,12.684025851958515,2544.8188130912445,0.0001714667094707012,0.9999691364685837,3.9584510901891687
10,0.1,4,8,-1,0,GA,12.72268816876402,2546.9633817875797,0.00017126425291811805,0.9999691729096394,1.9699089439274189
10,0.1,4,8,-1,1,HEFT,10.311951593229256,3062.7919401387403,0.0002678093781897586,0.9999517954738014,3.0103798915754374
10,0.1,4,8,-1,1,GA,10.931583065709445,2964.270213315627,0.00024739512131880106,0.9999554698696581,4.554309669828379
10,0.1,4,8,-1,2,HEFT,11.652275910136625,2993.469331878718,0.00024222879127979357,0.999956399768087,3.9980579549916895
